english,chinese,example,translation
measure,测量,They measure the time spent studying,他们测量学习时间
observe,观察,She observes the teacher's methods,她观察老师的方法
predict,预测,He predicts the next question correctly,他正确预测了下一个问题
encourage,鼓励,The coach encourages the student,教练鼓励学生
estimate,估计,He estimates how many words he can learn,他估计自己能学多少单词
create,制作,She creates a small study plan,她制定了一个小学习计划
follow,遵循,He follows the teacher's advice,他遵循老师的建议
imagine,想象,She imagines a bright future,她想象着光明的未来
accept,接受,He accepts the teacher's feedback,他接受老师的反馈
refuse,拒绝,She refuses bad study habits,她拒绝不好的学习习惯
complain,抱怨,He never complains about hard work,他从不抱怨辛苦的工作
encounter,遇到,She encounters new words every day,她每天遇到新单词
compare,比较,He compares the two answers carefully,他仔细比较两个答案
express,表达,They express gratitude to the teacher,他们向老师表达感谢
balance,平衡,She balances study and rest,她平衡学习与休息
connect,连接,He connects new words with old ones,他把新词和旧词连接起来
observe,观察,She observes the classmate's study style,她观察同学的学习方式
investigate,调查,He investigates the meaning of the phrase,他研究短语的含义
organize,整理,She organizes the vocabulary list well,她整理了词汇表
recommend,推荐,The teacher recommends good books,老师推荐了好书
select,选择,He selects the best answer carefully,他慎重选择最佳答案
understand,理解,She understands the grammar rule now,她现在理解了语法规则
perform,表现,He performs well in the oral test,他在口语考试中表现很好
respond,回应,She responds to the question quickly,她迅速回答问题
solve,解决,He solves the problem step by step,他一步步解决问题
examine,检查,She examines her notes before the test,她在测试前检查笔记
identify,识别,He identifies the key vocabulary,他识别出关键词汇
review,回顾,They review class materials every week,他们每周回顾课堂资料
repeat,重复,Repeat the sentence to improve memory,重复句子以提高记忆
practice,实行,He practices new words every evening,他每晚练习新单词
apply,应用,She applies the vocabulary in writing,她在写作中应用词汇
compare,比较,He compares his notes with classmates,他把笔记与同学比较
collect,收集,She collects useful study tips,她收集有用的学习技巧
explain,解释,He explains the meaning clearly,他清楚地解释了意思
observe,观察,She observes the pronunciation carefully,她仔细观察发音
review,复习,He reviews the vocabulary before sleeping,他睡前复习词汇
continue,继续,She continues to study every day,她每天继续学习
complete,完整,He completes the vocabulary exercise,他完成了词汇练习
